Title,duration
"""Across the Universe""",371.0
"""All Systems Go""",305.0
"""All of Me """,762.5
"""Almost There """,602.0
"""America """,462.5
"""American Pie""",841.5
"""As Time Goes By""",285.3333333333333
"""Auld Lang Syne""",254.33333333333334
"""Automatic """,847.1111111111111
"""Autumn Leaves""",139.0
"""Away in a Manger""",186.33333333333334
"""Bad Moon Rising""",335.0
"""Balcony Scene""",341.3333333333333
"""Beautiful Day """,722.0
"""Beauty and the Beast""",358.0
"""Ben""",234.0
"""Bittersweet Symphony""",876.0
"""Blackbird""",383.0
"""Book of Days """,662.0
"""Break Free """,674.8333333333334
"""Breakfast at Tiffany's""",480.0
"""Bridge Over Troubled Water """,953.9166666666666
"""Bridge over Troubled Water """,747.2
"""California Dreamin""",487.0
"""Californication """,831.0
"""Can You Feel the Love Tonight """,405.3333333333333
"""Can You Feel the Love Tonight""",461.5
"""Can't fight this Feeling""",596.0
"""Canon in D Major""",427.14285714285717
"""Canon in D""",402.25
"""Cant stop Believin""",583.0
"""Charade""",461.5
"""Chopin Minute Waltz""",236.2
"""Chopin Nocturne 21 in C Minor""",430.875
"""Chopin Nocturne No. 21 in C Minor""",432.0
"""Chopin Waltz in A Minor""",406.6666666666667
"""Claire De Lune """,697.6363636363636
"""Claire de Lune """,535.0
"""Claire de Lune""",638.25
"""Clocks """,827.0833333333334
"""Colors of the Wind """,650.0
"""Days of Wine and Roses""",474.5
"""Deck the Halls""",346.0
"""Desperado """,436.56756756756755
"""Desperado""",437.5
"""Dig a Little Deeper """,688.0
"""Dont Be Cruel """,543.5
"""Dont Stop Believin """,560.5769230769231
"""Dont Stop Believin' """,627.5
"""Dont stop Believin """,685.6153846153846
"""Dont stop Believin' """,441.0
"""Dream """,322.0
"""Dust in the Wind""",528.2352941176471
"""Ecclesiastes """,494.0
"""El Condor Pasa """,223.0
"""Elanor Rigby """,254.33333333333334
"""Etude in E Major Op 10 No 3 """,939.1818181818181
"""Everything I do, I do it for you """,537.6666666666666
"""Evil Like Me""",673.0
"""FINAL DISTANCE """,894.0
"""Faithfully """,698.8823529411765
"""Fallin """,469.5
"""Fibonacci Flip """,414.5
"""Final Distance """,897.9473684210526
"""Fire and Rain""",469.1333333333333
"""First Love（宇多田ヒカル）""",721.0
"""For the First Time in Forever """,710.6666666666666
"""Forrest Gump""",331.5
"""Free Bird """,544.1
"""Free Fallin """,439.0
"""Frosty the Snowman""",636.6666666666666
"""Good Night """,318.0
"""Good Riddance """,320.5
"""Hallelujah """,660.3333333333334
"""Have you ever really loved a Woman """,578.6666666666666
"""Have you ever really loved a woman """,603.0
"""Have you really ever loved a Woman""",404.0
"""Hazy Shade of Winter """,385.4761904761905
"""He's A Pirate """,297.0
"""He's a Pirate""",353.70588235294116
"""Heart and Soul""",416.0
"""Heaven """,569.3333333333334
"""Hey Jude """,520.0
"""Home""",414.0
"""Homeward Bound """,414.0
"""Honesty """,684.12
"""House of the Rising Sun""",591.5
"""I Do it For You """,372.2857142857143
"""I Dont Know Why""",620.6666666666666
"""I LOVE """,657.0
"""I LOVE .. """,1222.0
"""I LOVE ... """,791.3333333333334
"""I LOVE... """,774.0
"""I walk the Line """,285.0
"""I'm Yours """,359.0
"""I've Got my Love to Keep Me Warm""",540.0
"""Innocent World """,913.4444444444445
"""Into the Mystic """,603.0
"""It Might be You """,352.0
"""Jacob's Theme """,195.2
"""Just the Way You Are """,598.0
"""Just the Way you Are """,593.5
"""Kyrie for the Magdalene""",442.5
"""La Valse D'Amelie""",323.0
"""Leaves that Are Green """,590.5
"""Love Story""",353.0
"""Love is Blindness""",514.5
"""Love theme of Taewangsashingi""",811.0
"""Lovely """,387.5
"""Lovely - Billy Eilish""",354.72222222222223
"""Mad World""",238.5
"""Marriage D'Amour""",905.4615384615385
"""Me and Bobby McGee""",1295.5
"""Moonlight Sonata """,464.04
"""More than a Feeling""",650.5
"""My Everything """,479.6666666666667
"""My Heart will Go On""",712.0
"""Once Upon a Time""",632.9
"""Only the Good Die Young """,936.0
"""Pascal Funk """,544.2
"""Piano Man """,995.3333333333334
"""Playing again today""",1313.0
"""Prelude in D flat major Op. 28 """,481.25
"""Prelude in Db Major """,518.0
"""Prelude, Op. 28, No. 1 """,206.38636363636363
"""Pretender """,1152.1818181818182
"""Red, Red Wine """,299.5
"""River Flows in You """,472.0
"""River Flows in You""",505.0
"""Romeo and Juliet Theme""",304.5
"""Sadness and Sorrow""",232.0
"""Scarborough Fair """,409.6
"""She Will be Loved """,559.0
"""She will be Loved """,559.0
"""She will be loved """,588.6428571428571
"""She's Always a Woman """,985.5
"""Shes always a Woman """,859.6666666666666
"""Skyrim Theme""",429.0
"""Skyrim theme""",477.0
"""Someone Like You """,655.5
"""Something""",218.0
"""Somewhere in Time """,199.0
"""Sonata Op. 35 """,1280.0
"""Spring - Four Seasons """,664.25
"""Spring is Here""",464.0
"""Stairway to Heaven """,980.5
"""Stairway to Heaven""",861.0
"""Stand Alone """,452.25
"""Summer of 69 """,493.0
"""Sunday Morning """,564.8
"""Take it Easy """,483.4344262295082
"""Tangled """,655.5
"""Tenderly""",368.5
"""The Christmas Waltz""",622.8
"""The Entertainer """,1088.5
"""The First Noel and Christmas Waltz""",536.0
"""The Music of the Night """,584.0
"""The River Seine""",567.0
"""The Scientist """,603.5
"""The Scientist - Coldplay""",398.0
"""Theme From ""Final Attraction""""",260.4
"""Theme from ""Jurassic Park""""",435.5
"""Think of Me """,595.0
"""Time After Time """,572.0
"""Unchained Melody """,339.0
"""Under the Boardwalk""",478.5
"""Under the Bridge """,785.0588235294117
"""What falling in love feels like""",584.0
"""When I fall in Love""",624.5
"""When I was Your Man """,538.4166666666666
"""When I was your Man """,576.0
"""なみだそうそう""",563.0
"""にじいろ　（綾香）""",640.4285714285714
"""キセキ（Green）""",723.0
"""ノンフィクション　【平井　堅】""",768.5
"""ノンフィクション　（平井　堅）""",700.0
"""夜に駆けて　（よあそび）""",780.3333333333334
"""夜に駆ける """,828.3333333333334
"""夜に駆ける （よあそび）""",740.5
"""夜に駆ける""",887.3243243243244
"""夜に駆ける　（よあそび）""",814.0487804878048
"""家族になろうよ""",560.08
"""花束を君に　（宇多田ヒカル）""",817.0
"""花束を君に（宇多田ヒカル）""",821.0
"""虹色""",621.2142857142857
"""虹色　（にじいろ）""",648.0
"""虹色　（綾香）""",602.9354838709677
"""身代わりジジ""",353.6666666666667
